Nome,Preços
['Cerveja Weiss Prius Prime Garrafa 600ml'],"['R$24,99']"
"[""Cerveja Fuller's Golden Pride Garrafa 500ml""]",['######']
['Cerveja Fruit Kriek Brut Liefmans Garrafa 330ml'],"['R$28,99']"
['Cerveja IPA Ginjo Puro Malte Prius Prime Garrafa 600ml'],"['R$24,99']"
['Cerveja Hocus Pocus Apa Cadabra Garrafa 500ml'],['######']
['Cerveja SAISON St. Feuillien Garrafa 330ml'],"['R$38,99']"
['Cerveja TUPINIQUIM Daily Apa Lata 350ml'],"['R$13,99']"
['Cerveja THREE MONKEYS Golden Ale 500ml '],"['R$20,99']"
['Cerveja West Coast Rye IPA Tupi Dama Bier Garrafa 600ml'],"['R$24,99']"
['Cerveja Dinamarquesa FAXE Ipa Lata 500ml'],"['R$21,99']"
['Cerveja BLONDINE Witbier Garrafa 500ml'],"['R$24,99']"
['Cerveja Indiana Clara White Ale THREE MONKEYS 500ml'],"['R$22,99']"
['Cerveja INVICTA Saison À Trois Garrafa 500ml'],"['R$19,99']"
['Cerveja BLONDINE Pivo Czech Bohemian Pilsen 500ml'],"['R$19,99']"
['Cerveja Kölsch Ginjo Puro Malte Prius Prime Garrafa 600ml'],"['R$19,99']"
['Cerveja LEUVEN Belgian Ipa DRAGON Garrafa 500ml'],"['R$24,99']"
['Cerveja Americana Ipa DAMA Bier Garrafa 600ml'],"['R$19,99']"
['Cerveja Belgian Ale Delirium Tremens Garrafa 330ml'],"['R$37,99']"
['Cerveja DOM CASMURRO Ipa Garrafa 600ml'],"['R$23,99']"
['Cerveja LEUVEN Witbier WITCH Garrafa 500ml'],"['R$14,99']"
['Cerveja Summit APA Tupiniquim Garrafa 350ml'],"['R$13,99']"
['Cerveja THREE MONKEYS Cool Lager 500ml'],"['R$18,99']"
['Cerveja American Pale Ale Prime Bier Garrafa 600ml'],"['R$24,99']"
['Cerveja Urbana Gordelícia Belgian Golden Strong Ale Garrafa 500ml'],"['R$19,99']"
['Cerveja Blondine Jackpot 777 Helles Garrafa 500ml'],"['R$19,99']"
['Cerveja AVÓS Vó Francisca Dark Lager Lata 473ml'],"['R$25,99']"
['Cerveja LEUVEN Weissbier ARCHER Garrafa 500ml'],"['R$21,99']"
['Cerveja Red Lager Puro Malte Back to the Red Black Princess Garrafa 600ml'],['######']
['Cerveja Bier DAMA Weissbier Garrafa 600ml'],"['R$19,99']"
['Cerveja AVÓS Vó Terezinha German Pils Lata 473ml'],"['R$27,99']"
['Cerveja Praya Witbier Lata 269ml'],"['R$5,99']"
['Cerveja ST. BERNARDUS PRIOR 8 Garrafa 330ml'],"['R$29,99']"
"[""Cerveja English IPA Puro Malte Let's Hop Black Princess Garrafa 600ml""]","['R$14,99']"
['Cerveja Craft Lager Maniacs Garrafa 355ml'],['######']
['Cerveja AVÓS Vó Antônia India Pale Lager Lata 473ml'],"['R$29,99']"
['Cerveja Kristall Weizen Doctor Weiss Black Princess Garrafa 600ml'],"['R$14,99']"
['Cerveja Malzbier Itaipava Lata 350ml'],"['R$3,39']"
['Cerveja AVÓS Vó Maria Hoppy Pils Lata 473ml'],"['R$25,99']"
['Cerveja WESTMALLE Tripel - 330ml'],"['R$39,99']"
['Cerveja AVÓS Vó Ana Wheat Lager Lata 473ml'],"['R$25,99']"
['Cerveja 2 Cabeças Apfelstrudel 473ml'],"['R$30,99']"
['Cerveja Lager Premium Petra Garrafa 355ml'],"['R$3,89']"
['Cerveja 2 Cabeças ZEZINHO 500ml'],"['R$30,99']"
['Cerveja 2 Cabeças Batida de Maracujá 473ml'],"['R$26,49']"
['Cerveja Patagonia Weisse 355ml'],"['R$7,99']"
['Cerveja 2 Cabeças Seu ZÉ 500ml\t'],"['R$30,99']"
['Cerveja Red Vintage ESTRELLA GALICIA 1906 Garrafa 330ml'],"['R$8,99']"
['Cerveja 2 Cabeças ZÉ 500ml'],"['R$30,99']"
['Cerveja 2 Cabeças Café com Bolinho 473ml'],"['R$26,49']"
['Cerveja 2 Cabeças Roiz Doce 473ml'],"['R$30,99']"
['Cerveja Black Princess Gold 355ml'],"['R$4,39']"
['Cerveja COLORADO Do Leme ao Pontal Garrafa 600ml'],"['R$13,29']"
['Cerveja 2 Cabeças Feijoada 473ml'],"['R$30,99']"
['Cerveja PETRA Aurum Garrafa 500ml'],"['R$13,99']"
['Cerveja Leuven Mystic Potion Sour Uva Garrafa 355ml'],"['R$19,99']"
['Cerveja 2 Cabeças Pudim 473ml'],"['R$26,49']"
['Whisky Old Parr 18 anos 750 ml'],['######']
['Cerveja PATAGONIA AMBER LAGER Garrafa 740ML'],['######']
['Cerveja Alemã Escura ERDINGER Weibbier Dunkel Garrafa 500ml'],['######']
['Cerveja Michelob Ultra Lager 355ml Long Neck'],['######']
['Cerveja Blue Moon Belgium White Lt 355ml'],['######']
