Nome,Precos
['Cerveja Summer Ipa TUPINIQUIM Lata 350ml'],"['R$12,84']"
['Cerveja Therezópolis Or Blanc Witbier Garrafa 500ml '],"['R$11,99']"
['Cerveja BLONDINE Sunny Wheat Lata 350ml'],"['R$12,99']"
['Cerveja Praya Witbier Lata 269ml'],"['R$5,99']"
['Cerveja Alemã Escura ERDINGER Weibbier Dunkel Garrafa 500ml'],"['R$29,79']"
['Cerveja BLONDINE HALLO Garrafa 500ml'],"['R$28,99']"
['Cerveja Weiss Maracujá TUPINIQUIM Lata 350ml'],"['R$13,99']"
['Cerveja Fábrica 1959 Witbier Lata 350ml'],"['R$7,29']"
['Kit Cerveja Stella 269ml C/8 Latas + 1 Cálice 250ml'],"['R$48,99']"
['Cerveja Budweiser American Lager 550ml Garrafa'],"['R$8,49']"
['Cerveja 2 Cabeças Batida de Maracujá 473ml'],"['R$26,49']"
['Cerveja AVÓS Vó Ana Wheat Lager Lata 473ml'],"['R$25,99']"
['Cerveja FABRICA 1959 PILSEN Puro Malte Garrafa 500ml'],"['R$11,49']"
['Cerveja APA Puro Malte Dom Lennon Dom Haus Garrafa 600ml Mosaic Edition'],"['R$23,79']"
['Cerveja Doktor Brau Apa Garrafa 500ml'],"['R$24,99']"
['Cerveja Munich Helles Dom Pedro Dom Haus Lata 350ml'],"['R$17,99']"
['Cerveja Kölsch Ginjo Puro Malte Prius Prime Garrafa 600ml'],"['R$19,99']"
['Cerveja Doktor Brau New Session 500ml'],"['R$24,99']"
['Cerveja TUPINIQUIM Polimango Ipa Lata 350ml'],"['R$14,99']"
['Cerveja Summit APA Tupiniquim Garrafa 350ml'],"['R$13,99']"
['Cerveja Leffe Blonde 330ml Long Neck'],"['R$11,99']"
['Cerveja BROOKLYN Lager Vienna 355ml'],"['R$15,99']"
['Cerveja Alemã PAULANER SALVATORE Lata 500ml'],"['R$21,99']"
['Cerveja Alemã PAULANER sem Álcool Lata 500ml'],"['R$21,99']"
['Cerveja BADEN BADEN Christmas Garrafa 600ml'],"['R$15,99']"
['Cerveja IPA Three Monkeys Garrafa 500ml'],"['R$23,99']"
['Cerveja Weiss Prius Prime Garrafa 600ml'],"['R$24,99']"
['Cerveja FABRICA 1959 WITBIER Garrafa 500ml'],"['R$11,49']"
['Cerveja Invicta Frut Maracujipa Garrafa 500ml'],"['R$21,99']"
['Cerveja Yellowhops Puro Malte Lata 350ml'],"['R$3,89']"
['Cerveja APA Dom Lennon Dom Haus Lata 350ml Mosaic Edition'],"['R$17,99']"
['Cerveja AVÓS Vó Antônia India Pale Lager Lata 473ml'],"['R$25,99']"
['Cerveja MARTINA Artesanal Witbier Lata 350ml'],"['R$9,49']"
['Cerveja WELTENBURGER Kloster Garrafa 500ml'],"['R$16,99']"
['Cerveja Mexicana SOL Garrafa 330ml - Caixa com 24'],"['R$102,96']"
['Kit 12 Cervejas AMSTEL Lager Lata 350ml + 6 Cervejas HEINEKEN Lata 350ml'],"['R$64,62']"
['Cerveja AMSTEL Lager Lata 350ml - Caixa com 12 Unidades'],"['R$38,28']"
['Cerveja 1500 Puro Malte Garrafa 600ml - Pack com 6 unidades'],"['R$00,00']"
['Kit 6 Cervejas Brahma Duplo Malte 350Ml + Pizza de frango com catupiry Seara 460g'],"['R$35,93']"
['Kit 3 Cerveja Stella Artois SEM GLUTEN 330 ML Long Neck + \tKibe Seara incrível 300g'],"['R$34,76']"
['Kit Cerveja PATAGONIA Amber Lager Garrafa 740ml 6 Unidades'],"['R$71,94']"
"['Compre 1 costela e +R$1,00 leve 1 pack de Colorado Ribeirão Lager 350ml']","['R$101,93']"
['Cerveja SCHIN Lata 350ml'],"['R$2,29']"
['Cerveja BADEN BADEN American Ipa Puro Malte Garrafa 600ml'],"['R$10,99']"
['Cerveja Brahma Chopp Pilsen 269ml Lata'],"['R$2,49']"
['Cerveja HEINEKEN Garrafa 600ml - Caixa com 12 Unidades'],"['R$119,88']"
['Cerveja Velhas Virgens Indie Man Garrafa 500ml'],"['R$24,99']"
['Cerveja Belgian Ale Delirium Tremens Garrafa 330ml'],"['R$37,99']"
['Kit 3 Cerveja Stella Artois SEM GLUTEN 330 ML Long Neck + Hambúrguer De Ervilha Sabor Carne SEARA Incrível 226g'],"['R$45,26']"
['Kit com 2 Cervejas Alemã ERDINGER WEISSBRAU 500ml com 1 Copo de Vidro'],"['R$115,99']"
['Cerveja Malzbier Itaipava Garrafa 355ml'],"['R$3,69']"
['Cerveja BRAHMA Zero Lata 350ml'],"['R$3,59']"
['Kit COLORADO Appia + 1 Copo'],"['R$23,99']"
['Cerveja Colorado Demoiselle 600ml Garrafa'],"['R$12,99']"
['Cerveja BLONDINE Tropical Umbu Garrafa 500ml'],"['R$33,99']"
['Cerveja THREE MONKEYS Cool Lager 500ml'],"['R$18,99']"
['Cerveja Amber Lager Puro Malte Cacildis Lata 350ml'],"['R$3,79']"
"[""Cerveja Fuller's London Pride Garrafa 500ml""]","['R$35,99']"
['Cerveja PATAGONIA WEISSE Garrafa 740ML'],"['R$11,99']"
['Kit Cervejas - Cervejaria PATAGÔNIA - 6 Unidades'],"['R$71,94']"
['Cerveja Craft Lager Maniacs Garrafa 355ml'],"['R$7,69']"
['Cerveja Wäls Session Citra Puro Malte 600ml Garrafa'],"['R$14,99']"
['Cerveja Amstel Ultra Lata 269ml'],"['R$3,49']"
['Cerveja BAVARIA Lata 350ml'],"['R$2,19']"
['Cerveja CRYSTAL Lata 350ml'],"['R$1,87']"
['Cerveja Stella Artois Sem Glúten Puro Malte 330ml Long Neck'],"['R$5,49']"
['Cerveja Alemã PAULANER LEMON LATA 500ML'],"['R$20,29']"
['Cerveja BOHEMIA Lata 350ml'],"['R$3,09']"
['Cerveja Burguesa Pilsen 350ml'],"['R$2,09']"
['Cerveja ITAIPAVA Lata 269ml'],"['R$2,45']"
['Cerveja ITAIPAVA Lata 350ml'],"['R$2,69']"
['Cerveja HEINEKEN Zero Álcool Lata 350ml'],"['R$4,39']"
['Cerveja Coronita Pilsen 210ml Long Neck'],"['R$3,99']"
['Cerveja Black Princess Gold 355ml'],"['R$4,39']"
['Cerveja Skol Pilsen 350ml Lata'],"['R$2,79']"
['Cerveja Jamaicana RED STRIPE Lager Garrafa 330ml'],"['R$11,99']"
['Cerveja EISENBAHN Pilsen Puro Malte Long Neck 355ml'],"['R$4,29']"
['Cerveja Kristall Weizen Doctor Weiss Black Princess Garrafa 600ml'],"['R$14,99']"
['Cerveja SOL Premium Long Neck 330ml'],"['R$4,29']"
