Nome,Precos
['Cerveja Kölsch Ginjo Puro Malte Prius Prime Garrafa 600ml'],"['R$19,99']"
['Cerveja American Pale Ale Prime Bier Garrafa 600ml'],"['R$24,99']"
['Cerveja FRANZISKANER Weissbier Dunkel Garrafa 500ml'],"['R$19,99']"
['Cerveja THREE MONKEYS Golden Ale 500ml '],"['R$20,99']"
['Cerveja INVICTA Hellbeirão Garrafa 500ml'],"['R$19,99']"
['Cerveja Dinamarquesa FAXE Witbier Lata 1 Litro'],"['R$42,99']"
['Cerveja BLONDINE Witbier Garrafa 500ml'],"['R$24,99']"
['Cerveja COLORADO APPIA 300 ml Garrafa'],"['R$6,99']"
['Cerveja Urweisse Erdinger Garrafa 500ml'],"['R$26,99']"
['Cerveja THREE MONKEYS Cool Lager 500ml'],"['R$18,99']"
['Cerveja Alemã PAULANER Hefe Weissbier sem Álcool Garrafa 500ml'],"['R$23,86']"
['Cerveja IPA Three Monkeys Garrafa 500ml'],"['R$23,99']"
['Cerveja West Coast Rye IPA Tupi Dama Bier Garrafa 600ml'],"['R$24,99']"
['Cerveja Bier DAMA QI American Pale Ale Garrafa 500ml'],"['R$19,99']"
['Cerveja AVÓS Vó Maria Hoppy Pils Lata 473ml'],"['R$25,99']"
['Kit Verão - Cooler + Gelo + Skol'],"['R$180,13']"
['Cerveja Mexicana SOL Garrafa 330ml - Caixa com 24'],"['R$102,96']"
['Kit Cerveja BLUE MOON Garrafa 355ml com 24 unidades'],"['R$239,76']"
['Kit com 15 Cervejas SKOL Puro Malte Lata 269ml Cada + Sacola Cooler'],"['R$79,34']"
['Cerveja EISENBAHN Pilsen Lata 350ml com 12 Unidades'],"['R$47,88']"
['Kit 12 Cervejas Lagunitas Ipa Long Neck 355ml + 1 Bacon em Fatias Seara Gourmet 250g + 2 Mix De Cogumelos Burger Seara Gourmet 320g'],"['R$179,45']"
['Cerveja BOHEMIA Lata 350ml Cada - 48 Unidades'],"['R$148,32']"
['Cerveja Bohemia Puro Malte 350ml Lata - Pack C/12'],"['R$37,08']"
['Cerveja Skol Pilsen 473ml Lata Pack C/12'],"['R$45,48']"
['Kit 12 Cervejas AMSTEL Lager Lata 350ml + 6 Cervejas HEINEKEN Lata 350ml'],"['R$66,18']"
['Cerveja AMSTEL Lager Lata 350ml - Caixa com 12 Unidades'],"['R$38,28']"
['Cerveja Budweiser Lager  330ml Long Neck Pack C/6'],"['R$26,94']"
['Cerveja LEUVEN Witbier WITCH Garrafa 500ml'],"['R$14,99']"
['CERV DRAFT PESSEGO'],"['R$15,99']"
['Cerveja Cusqueña Golden Lager Garrafa 330ml'],"['R$7,99']"
['Cerveja AVÓS Vó Francisca Dark Lager Lata 473ml'],"['R$25,99']"
"[""Cerveja Three Monkeys I'm Sour Goiaba e Pitaya Lata 473ml""]","['R$24,99']"
